"id";"Gender";"Age";"Driving_License";"Region_Code";"Previously_Insured";"Vehicle_Age";"Vehicle_Damage";"Annual_Premium";"Policy_Sales_Channel";"Vintage";"Response"
51;"Female";23;1;47;0;"< 1 Year";"No";32444;152;279;0
52;"Female";28;1;50;1;"< 1 Year";"No";27002;152;107;0
53;"Female";51;1;28;0;"> 2 Years";"Yes";44861;25;297;1
54;"Male";57;1;8;0;"1-2 Year";"Yes";36204;7;94;0
55;"Male";23;1;16;0;"< 1 Year";"Yes";2630;156;190;0
56;"Male";27;0;11;0;"< 1 Year";"Yes";2630;26;142;0
57;"Male";45;1;11;0;"1-2 Year";"Yes";37429;124;47;1
58;"Male";49;1;24;0;"1-2 Year";"Yes";2630;156;152;0
59;"Female";75;1;11;1;"< 1 Year";"No";31900;152;129;0
60;"Female";49;1;28;1;"1-2 Year";"Yes";25427;26;95;0
61;"Female";70;1;28;0;"1-2 Year";"Yes";22782;124;161;0
62;"Male";36;1;43;0;"1-2 Year";"Yes";26208;124;38;0
63;"Male";41;0;28;0;"1-2 Year";"Yes";3033800;124;97;0
64;"Male";45;1;28;0;"1-2 Year";"Yes";35607;26;21;1
65;"Female";24;1;29;1;"< 1 Year";"No";30352;152;128;0
66;"Female";33;0;46;0;"< 1 Year";"Yes";26544;124;42;0
67;"Female";71;1;38;0;"1-2 Year";"Yes";30701;124;51;0
68;"Female";22;1;46;1;"< 1 Year";"No";28266;152;148;0
69;"Male";22;1;39;0;"< 1 Year";"Yes";26810;152;184;0
70;"Male";28;0;41;0;"< 1 Year";"Yes";29231;152;111;0
71;"Male";43;1;19;0;"1-2 Year";"Yes";28084;124;123;0
72;"Female";65;1;28;1;"1-2 Year";"Yes";28324;124;281;0
73;"Female";44;0;28;0;"1-2 Year";"Yes";31904;124;128;0
74;"Female";35;1;46;0;"1-2 Year";"Yes";27545;124;22;1
75;"Female";24;1;33;1;"< 1 Year";"No";33628;152;183;0
76;"Male";40;1;28;0;"1-2 Year";"Yes";2630;26;206;1
77;"Male";48;1;46;0;"> 2 Years";"Yes";2630;26;114;1
78;"Male";61;1;28;0;"1-2 Year";"Yes";43221;124;29;1
79;"Female";22;1;37;0;"< 1 Year";"Yes";31706;152;53;0
80;"Male";47;1;28;0;"1-2 Year";"Yes";2630;65;109;1
81;"Male";52;1;28;0;"1-2 Year";"Yes";2630;26;219;1
82;"Male";33;1;46;0;"1-2 Year";"Yes";2630;157;293;0
83;"Female";64;0;28;0;"1-2 Year";"Yes";2630;44;13;0
84;"Female";40;1;29;0;"1-2 Year";"Yes";32954;26;135;1
85;"Female";81;0;28;0;"1-2 Year";"Yes";2630;156;249;0
86;"Male";41;0;50;0;"> 2 Years";"Yes";23741;25;92;0
87;"Male";48;1;41;0;"1-2 Year";"Yes";19447;91;159;0
88;"Male";55;1;36;0;"> 2 Years";"Yes";34837;124;198;0
89;"Male";46;1;28;0;"1-2 Year";"Yes";30496;26;57;0
90;"Male";84;1;11;1;"1-2 Year";"No";16998;124;75;0
91;"Male";22;0;28;0;"1-2 Year";"Yes";2630;124;192;0
92;"Male";61;1;38;0;"1-2 Year";"Yes";38815;124;234;1
93;"Female";32;1;36;0;"1-2 Year";"Yes";31599;124;181;1
94;"Male";38;1;47;0;"1-2 Year";"Yes";35975;124;88;0
95;"Female";26;1;21;1;"< 1 Year";"No";26100;152;40;0
96;"Male";43;1;28;1;"1-2 Year";"No";33854;125;113;0
97;"Female";48;1;28;0;"> 2 Years";"Yes";2630;26;207;1
98;"Female";37;1;8;1;"1-2 Year";"No";26840;152;80;0
99;"Male";59;0;24;0;"1-2 Year";"Yes";26575;124;242;0
100;"Female";45;1;28;0;"1-2 Year";"Yes";48077;26;142;0
101;"Male";34;1;50;0;"1-2 Year";"Yes";26181;124;35;1
102;"Female";23;1;18;1;"< 1 Year";"No";39974;152;131;0
103;"Male";44;1;17;1;"1-2 Year";"No";29591;124;10;0
104;"Female";59;1;18;1;"1-2 Year";"No";40879;55;196;0
105;"Female";35;1;3;0;"1-2 Year";"Yes";27469;124;24;1
106;"Male";25;1;3;0;"< 1 Year";"Yes";28565;152;79;0
107;"Male";28;1;28;1;"< 1 Year";"No";44210;152;232;0
108;"Female";24;1;2;0;"< 1 Year";"Yes";33771;151;248;0
109;"Female";51;1;8;0;"1-2 Year";"Yes";29348;26;177;1
110;"Male";49;0;48;0;"1-2 Year";"Yes";2630;26;226;0
111;"Male";42;1;8;0;"1-2 Year";"Yes";37711;124;289;0
112;"Female";20;1;27;0;"< 1 Year";"Yes";2630;160;270;1
113;"Female";24;1;46;1;"< 1 Year";"No";22248;152;56;0
114;"Female";48;1;35;0;"1-2 Year";"Yes";2630;156;53;0
115;"Female";38;0;28;0;"1-2 Year";"Yes";47834;124;199;0
116;"Male";22;1;30;1;"< 1 Year";"No";15574;152;273;0
117;"Male";57;1;41;0;"1-2 Year";"Yes";32351;124;129;1
118;"Male";65;0;28;0;"1-2 Year";"Yes";38821;124;234;0
119;"Female";55;0;41;0;"1-2 Year";"Yes";30020;124;179;0
120;"Female";27;1;6;1;"< 1 Year";"No";27511;152;71;0
121;"Female";31;0;35;0;"1-2 Year";"Yes";26750;26;159;0
122;"Male";60;1;39;0;"1-2 Year";"Yes";2630;124;258;1
123;"Male";34;0;39;0;"1-2 Year";"Yes";42170;124;290;0
124;"Male";49;1;11;0;"1-2 Year";"Yes";39900;26;73;0
125;"Male";25;1;21;1;"< 1 Year";"No";26970;152;237;0
126;"Male";39;0;28;0;"1-2 Year";"Yes";34813;26;243;0
127;"Female";30;0;28;0;"1-2 Year";"Yes";28819;122;52;0
128;"Male";23;1;6;1;"< 1 Year";"No";27343;152;191;0
129;"Female";23;1;16;1;"< 1 Year";"No";39270;152;182;0
130;"Female";40;1;15;1;"1-2 Year";"No";32534;152;32;0
131;"Male";63;1;28;1;"1-2 Year";"No";40083;26;10;0
132;"Male";37;0;46;0;"1-2 Year";"Yes";30594;152;87;0
133;"Male";51;0;0;0;"1-2 Year";"Yes";2630;26;168;0
134;"Female";37;1;13;0;"1-2 Year";"Yes";22961;152;229;0
135;"Female";110;1;50;1;"1-2 Year";"No";43957;8;276;0
136;"Male";40;1;28;0;"1-2 Year";"Yes";2630;26;41;0
137;"Male";42;1;28;0;"1-2 Year";"Yes";40482;124;288;1
138;"Male";68;1;46;1;"1-2 Year";"No";29675;26;156;0
139;"Male";36;1;14;0;"1-2 Year";"Yes";2630;156;101;1
140;"Male";54;1;41;0;"1-2 Year";"Yes";25673;12;245;1
141;"Male";50;1;24;1;"1-2 Year";"No";2630;145;59;0
142;"Female";40;0;11;0;"1-2 Year";"No";28734;124;208;0
143;"Male";45;1;28;0;"1-2 Year";"Yes";44723;26;100;0
144;"Female";23;1;30;1;"< 1 Year";"No";36893;152;23;0
145;"Female";42;0;41;0;"1-2 Year";"Yes";34164;124;35;0
146;"Male";24;1;28;1;"< 1 Year";"No";43466;152;275;0
147;"Female";37;1;13;0;"1-2 Year";"Yes";27117;26;248;1
148;"Female";36;0;15;0;"1-2 Year";"Yes";3603400;124;289;0
149;"Female";22;1;11;0;"< 1 Year";"Yes";34984;152;190;0
150;"Male";39;0;28;0;"1-2 Year";"Yes";32707;124;103;0
151;"Male";61;1;50;0;"1-2 Year";"Yes";2630;157;286;1
152;"Male";72;0;35;0;"1-2 Year";"Yes";2630;124;35;0
153;"Female";60;1;28;0;"1-2 Year";"Yes";46216;155;160;1
154;"Male";43;0;41;0;"1-2 Year";"Yes";47335;12;131;0
155;"Female";22;1;15;1;"< 1 Year";"No";24610;152;73;0
156;"Male";34;1;30;0;"1-2 Year";"Yes";26853;152;204;1
157;"Male";52;0;48;0;"> 2 Years";"Yes";2630;26;183;0
158;"Male";55;1;8;1;"1-2 Year";"No";37108;26;19;0
159;"Male";36;1;28;0;"1-2 Year";"Yes";46633;124;85;1
160;"Male";23;1;15;1;"< 1 Year";"No";36732;152;239;0
161;"Male";28;1;47;0;"< 1 Year";"No";20470;152;156;0
162;"Female";21;1;6;1;"< 1 Year";"No";27911;160;274;0
163;"Female";45;1;46;0;"1-2 Year";"Yes";35816;91;127;1
164;"Male";35;0;28;0;"1-2 Year";"Yes";42535;124;268;0
165;"Male";25;1;29;1;"< 1 Year";"No";23259;152;238;0
166;"Female";75;1;28;0;"1-2 Year";"Yes";31120;124;257;0
167;"Female";21;1;28;1;"< 1 Year";"No";44398;160;266;0
168;"Male";44;1;28;0;"1-2 Year";"Yes";46423;26;249;1
169;"Female";27;1;28;0;"< 1 Year";"Yes";2630;1;123;0
170;"Female";41;1;46;0;"1-2 Year";"Yes";31417;154;157;0
171;"Male";25;1;28;0;"< 1 Year";"Yes";32844;152;143;0
172;"Female";46;1;11;0;"1-2 Year";"No";28575;124;90;0
173;"Male";35;1;40;0;"1-2 Year";"Yes";2630;152;93;0
174;"Male";29;0;23;0;"1-2 Year";"Yes";30057;163;142;0
175;"Female";36;1;29;1;"1-2 Year";"No";19292;124;178;0
176;"Male";21;0;36;0;"< 1 Year";"Yes";27950;152;240;0
177;"Female";43;1;47;0;"1-2 Year";"Yes";48184;124;107;1
178;"Female";23;1;8;1;"< 1 Year";"No";25036;152;173;0
179;"Male";73;1;28;0;"1-2 Year";"Yes";45736;26;134;0
180;"Female";49;1;3;0;"1-2 Year";"Yes";27954;26;162;1
181;"Male";81;1;3;0;"1-2 Year";"Yes";38440;124;285;1
182;"Female";21;1;30;0;"< 1 Year";"No";27552;152;147;0
183;"Male";45;0;46;0;"1-2 Year";"Yes";32188;26;178;0
184;"Female";22;1;37;0;"< 1 Year";"Yes";2605900;152;38;0
185;"Male";107;0;38;0;"1-2 Year";"Yes";31347;124;29;0
186;"Male";44;1;8;1;"1-2 Year";"No";28564;26;90;0
187;"Male";40;0;41;0;"1-2 Year";"Yes";34504;26;33;0
188;"Male";45;0;28;0;"> 2 Years";"Yes";48057;26;25;0
189;"Female";70;1;20;0;"> 2 Years";"Yes";2630;26;88;0
190;"Female";66;1;33;1;"< 1 Year";"No";25273;152;22;0
191;"Male";63;1;35;0;"1-2 Year";"Yes";23405;88;200;0
192;"Female";24;1;29;0;"1-2 Year";"Yes";2630;156;18;0
193;"Male";44;1;28;0;"1-2 Year";"Yes";34108;124;65;0
194;"Male";45;1;2;0;"1-2 Year";"Yes";41570;163;230;0
195;"Female";24;1;41;1;"< 1 Year";"No";42907;152;159;0
196;"Female";38;0;28;0;"1-2 Year";"Yes";47232;124;140;0
197;"Female";48;1;8;0;"1-2 Year";"Yes";33559;26;143;0
198;"Female";25;1;38;1;"< 1 Year";"No";29082;152;176;0
199;"Male";23;1;27;1;"< 1 Year";"No";24325;152;167;0
200;"Male";37;0;28;0;"1-2 Year";"Yes";37872;124;68;0
201;"Male";30;1;30;1;"< 1 Year";"No";3468200;152;18;0
202;"Female";67;1;46;0;"> 2 Years";"Yes";2630;26;157;1
203;"Male";23;0;30;0;"< 1 Year";"Yes";2630;160;30;0
204;"Female";50;1;28;0;"1-2 Year";"Yes";4331100;26;262;0
205;"Male";37;1;29;0;"1-2 Year";"Yes";2630;124;218;1
206;"Male";21;1;49;0;"< 1 Year";"Yes";28254;152;285;0
207;"Female";22;1;33;1;"< 1 Year";"No";34584;152;33;0
208;"Male";22;1;47;0;"< 1 Year";"Yes";46361;26;54;0
209;"Female";24;1;8;1;"< 1 Year";"No";34263;152;200;0
210;"Male";55;0;49;0;"1-2 Year";"Yes";44501;26;3248;0
211;"Male";24;1;13;0;"< 1 Year";"Yes";34437;152;189;1
212;"Female";38;1;45;0;"1-2 Year";"Yes";32778;26;227;0
213;"Female";20;1;46;1;"< 1 Year";"Yes";2630;160;23;0
214;"Male";59;1;26;0;"1-2 Year";"Yes";38183;120;272;0
215;"Male";48;1;29;0;"1-2 Year";"Yes";2630;124;114;1
216;"Male";43;1;28;0;"1-2 Year";"Yes";38133;122;173;1
217;"Male";50;1;30;0;"1-2 Year";"Yes";22555;124;26;0
218;"Female";23;1;3;1;"< 1 Year";"No";20394;152;12;0
219;"Male";36;0;36;0;"1-2 Year";"Yes";2630;163;95;0
220;"Female";27;1;10;1;"< 1 Year";"No";31735;152;92;0
221;"Female";31;1;8;0;"< 1 Year";"Yes";25498;152;195;1
222;"Male";23;1;13;0;"< 1 Year";"Yes";2630;156;102;0
223;"Female";34;1;50;0;"1-2 Year";"Yes";30371;124;286;1
224;"Male";60;1;17;0;"1-2 Year";"Yes";29760;26;24;1
225;"Female";41;1;18;0;"1-2 Year";"Yes";35496;26;96;1
226;"Female";27;1;28;1;"< 1 Year";"No";44034;152;80;0
227;"Male";94;1;5;1;"1-2 Year";"No";33260;26;167;0
228;"Female";48;0;46;0;"1-2 Year";"Yes";21479;26;289;0
229;"Female";22;1;36;0;"< 1 Year";"Yes";34741;152;89;0
230;"Female";34;0;28;0;"1-2 Year";"Yes";2630;158;34;0
231;"Male";64;1;6;0;"> 2 Years";"Yes";2630;163;138;0
232;"Female";25;0;14;0;"< 1 Year";"Yes";2630;152;61;0
233;"Male";29;1;28;0;"< 1 Year";"Yes";2630;156;233;0
234;"Male";49;0;0;0;"1-2 Year";"Yes";2630;26;45;0
235;"Male";53;0;39;0;"1-2 Year";"Yes";2630;157;145;0
236;"Female";96;1;41;0;"1-2 Year";"Yes";46898;12;182;1
237;"Female";45;1;28;0;"1-2 Year";"Yes";2630;122;259;1
238;"Female";23;1;47;0;"< 1 Year";"Yes";24372;26;32;1
239;"Male";43;0;27;0;"1-2 Year";"Yes";2630;157;275;0
240;"Female";25;1;36;1;"< 1 Year";"No";37059;152;297;0
241;"Female";26;1;46;0;"< 1 Year";"Yes";2630;152;61;0
242;"Male";49;0;28;0;"1-2 Year";"Yes";36600;26;270;0
243;"Male";36;0;13;0;"1-2 Year";"Yes";28507;26;24;0
244;"Male";25;1;11;0;"1-2 Year";"Yes";263000;124;194;1
245;"Female";46;1;28;0;"1-2 Year";"Yes";36106;26;99;0
246;"Male";44;1;45;0;"1-2 Year";"Yes";41760;26;106;1
247;"Female";45;0;8;0;"1-2 Year";"Yes";39286;26;13;0
248;"Female";22;1;45;0;"< 1 Year";"Yes";19174;152;139;0
249;"Male";41;0;28;0;"1-2 Year";"Yes";34776;26;196;0
250;"Female";58;1;28;0;"1-2 Year";"Yes";34451;124;120;0
251;"Male";70;1;28;0;"1-2 Year";"Yes";41565;124;56;0
252;"Male";40;1;13;0;"1-2 Year";"Yes";30111;26;71;1
253;"Male";53;1;29;0;"1-2 Year";"Yes";2630;157;219;1
254;"Male";46;1;46;1;"1-2 Year";"Yes";2630;157;3842;0
255;"Male";21;1;3;0;"< 1 Year";"Yes";30076;160;280;0
256;"Female";53;1;28;1;"1-2 Year";"No";31248;26;163;0
257;"Female";127;1;28;0;"1-2 Year";"Yes";2630;158;160;0
258;"Male";30;1;8;0;"< 1 Year";"Yes";41158;26;183;0
259;"Male";24;1;35;1;"< 1 Year";"No";32863;152;78;0
260;"Female";24;1;8;0;"< 1 Year";"Yes";30384;152;299;0
261;"Male";63;0;28;0;"> 2 Years";"Yes";2630;13;245;0
262;"Male";48;1;28;0;"1-2 Year";"Yes";37007;52;80;1
263;"Male";21;1;6;0;"< 1 Year";"Yes";2630;160;74;0
264;"Male";37;1;28;1;"1-2 Year";"No";47493;122;295;0
265;"Male";25;1;13;0;"< 1 Year";"No";2630;160;122;1
266;"Male";41;1;8;0;"1-2 Year";"Yes";2630;26;4500;1
267;"Male";21;1;34;0;"< 1 Year";"Yes";34648;152;131;0
268;"Female";35;0;47;0;"1-2 Year";"Yes";23725;152;134;0
269;"Female";29;1;28;1;"1-2 Year";"No";2630;124;91;0
270;"Male";53;1;50;0;"> 2 Years";"Yes";20844;124;220;1
271;"Male";46;1;11;0;"1-2 Year";"Yes";30653;124;20;0
272;"Female";45;1;18;0;"1-2 Year";"Yes";2630;124;400;0
273;"Male";24;1;10;1;"< 1 Year";"No";36784;152;91;0
274;"Male";65;1;39;1;"1-2 Year";"No";40221;124;226;0
275;"Female";70;0;46;0;"> 2 Years";"Yes";2630;124;235;0
276;"Female";37;0;20;0;"1-2 Year";"Yes";2630;26;269;0
277;"Female";43;1;36;0;"1-2 Year";"Yes";37730;124;85;0
278;"Female";36;1;14;1;"< 1 Year";"No";2630;1;298;0
279;"Female";25;1;3;0;"< 1 Year";"Yes";25232;160;189;1
280;"Female";42;0;28;0;"1-2 Year";"Yes";24756;124;3060;0
281;"Male";47;0;36;0;"> 2 Years";"Yes";38062;124;86;0
282;"Male";49;1;8;0;"1-2 Year";"Yes";45972;124;250;0
283;"Female";22;1;37;0;"< 1 Year";"Yes";28622;152;137;0
284;"Male";43;1;46;0;"1-2 Year";"Yes";25787;11;82;1
285;"Female";80;1;39;0;"1-2 Year";"Yes";2630;26;248;0
286;"Male";44;1;28;0;"1-2 Year";"Yes";44181;124;60;0
287;"Male";70;1;28;0;"1-2 Year";"Yes";33794;26;183;1
288;"Male";24;1;11;1;"< 1 Year";"No";30088;152;259;0
289;"Male";24;1;17;1;"< 1 Year";"No";33769;152;1508;0
290;"Male";51;1;50;1;"1-2 Year";"No";22215;124;239;0
291;"Male";25;1;39;0;"< 1 Year";"Yes";34393;152;1794;0
292;"Male";42;1;28;0;"1-2 Year";"Yes";29833;124;18;1
293;"Female";51;0;28;0;"1-2 Year";"Yes";41878;122;227;0
294;"Male";55;0;28;0;"1-2 Year";"Yes";46443;26;298;0
295;"Female";24;1;36;1;"< 1 Year";"No";2881700;152;40;0
296;"Female";41;1;28;0;"1-2 Year";"Yes";40300;124;1625;1
297;"Female";26;1;15;0;"< 1 Year";"Yes";30848;152;45;0
298;"Male";30;1;28;1;"< 1 Year";"No";3546400;152;246;0
299;"Male";38;1;8;0;"1-2 Year";"Yes";47025;7;2710;1
300;"Male";31;0;9;0;"< 1 Year";"Yes";33179;155;142;0
301;"Female";40;1;28;0;"1-2 Year";"Yes";44581;124;253;0
302;"Male";25;1;11;1;"< 1 Year";"No";18087;152;156;0
303;"Female";26;1;28;1;"< 1 Year";"No";38479;152;227;0
304;"Female";49;1;28;0;"1-2 Year";"Yes";25280;26;149;1
305;"Male";24;1;2;0;"< 1 Year";"Yes";33690;152;2040;0
306;"Male";72;1;28;0;"1-2 Year";"Yes";35998;124;208;0
307;"Male";60;1;30;0;"1-2 Year";"Yes";23108;26;80;0
308;"Male";23;1;8;1;"< 1 Year";"No";26232;160;71;0
309;"Female";24;1;37;0;"1-2 Year";"Yes";263000;124;116;1
310;"Female";39;1;46;1;"1-2 Year";"No";32402;26;190;0
311;"Female";25;1;28;1;"< 1 Year";"Yes";44474;152;170;0
312;"Male";21;1;8;1;"< 1 Year";"No";35400;152;11;0
313;"Male";23;1;47;0;"< 1 Year";"Yes";23641;152;98;1
314;"Male";33;1;28;0;"1-2 Year";"Yes";42466;26;276;0
315;"Male";45;0;3;0;"1-2 Year";"Yes";24907;124;22;0
316;"Male";73;1;50;1;"1-2 Year";"No";35852;26;15;0
317;"Male";62;1;33;0;"1-2 Year";"Yes";30980;154;12;0
318;"Male";45;1;14;0;"1-2 Year";"No";40143;124;205;0
319;"Female";26;1;36;1;"< 1 Year";"Yes";27223;152;95;0
320;"Female";33;1;41;0;"< 1 Year";"Yes";36648;152;254;1
321;"Female";24;0;41;0;"< 1 Year";"Yes";39461;152;298;0
322;"Female";22;1;33;0;"< 1 Year";"Yes";31986;152;45;0
323;"Male";20;0;46;0;"< 1 Year";"Yes";31975;160;226;0
324;"Female";25;0;28;0;"1-2 Year";"Yes";36369;155;273;0
325;"Female";84;1;34;0;"< 1 Year";"Yes";35070;152;246;0
326;"Male";23;1;33;1;"< 1 Year";"No";13911;152;270;0
327;"Male";39;1;28;0;"1-2 Year";"Yes";29264;124;57;0
328;"Female";63;1;28;0;"1-2 Year";"Yes";47468;122;138;0
329;"Female";58;1;45;1;"1-2 Year";"No";30552;26;54;0
330;"Female";39;1;36;0;"1-2 Year";"Yes";2923000;124;154;1
331;"Male";23;1;32;0;"< 1 Year";"Yes";2630;152;63;0
332;"Female";40;1;36;1;"1-2 Year";"No";2630;152;155;0
333;"Female";54;1;28;0;"1-2 Year";"Yes";49496;163;81;1
334;"Male";30;1;50;1;"< 1 Year";"No";30306;152;160;0
335;"Male";54;0;46;0;"1-2 Year";"Yes";32187;11;227;0
336;"Female";41;1;46;0;"1-2 Year";"No";35697;11;146;0
337;"Male";51;1;28;0;"1-2 Year";"Yes";28160;26;695;1
338;"Male";25;0;30;0;"< 1 Year";"Yes";37468;152;271;0
339;"Male";70;1;8;1;"1-2 Year";"No";39505;26;118;0
340;"Male";127;1;28;0;"1-2 Year";"Yes";45740;13;45;1
341;"Male";21;1;13;1;"< 1 Year";"No";2630;160;247;0
342;"Female";43;0;28;0;"1-2 Year";"Yes";39223;26;98;0
343;"Male";60;1;7;0;"1-2 Year";"Yes";41731;26;43;0
344;"Male";27;1;32;1;"< 1 Year";"Yes";24912;152;32;0
345;"Male";105;0;11;0;"1-2 Year";"Yes";25342;124;188;0
346;"Male";46;1;46;0;"1-2 Year";"Yes";23427;11;22;0
347;"Female";111;1;28;1;"1-2 Year";"No";42060;124;29;0
348;"Female";41;1;21;0;"1-2 Year";"Yes";26857;156;11;1
349;"Male";57;1;46;1;"1-2 Year";"No";30409;26;179;0
350;"Male";37;0;28;0;"1-2 Year";"Yes";2630;156;30;0
351;"Male";72;0;8;0;"1-2 Year";"Yes";2630;26;202;0
352;"Male";43;0;36;0;"1-2 Year";"Yes";43960;26;33;0
353;"Female";51;1;28;0;"1-2 Year";"Yes";34072;26;86;0
354;"Male";42;1;36;1;"1-2 Year";"No";31937;124;45;0
355;"Male";69;1;11;0;"1-2 Year";"Yes";2630;26;150;0
356;"Male";27;1;50;1;"< 1 Year";"No";23950;152;81;0
357;"Female";25;1;36;0;"< 1 Year";"Yes";25081;152;77;0
358;"Female";73;1;50;0;"1-2 Year";"No";36796;122;257;0
359;"Male";35;1;18;0;"1-2 Year";"Yes";2630;152;256;1
360;"Male";43;1;8;0;"1-2 Year";"Yes";33125;26;267;1
361;"Female";25;1;11;1;"< 1 Year";"No";24482;152;80;0
362;"Male";28;1;18;0;"< 1 Year";"Yes";2630;163;102;1
363;"Male";50;1;28;0;"1-2 Year";"Yes";26188;163;156;1
364;"Male";51;0;46;0;"1-2 Year";"Yes";31852;124;44;0
365;"Male";28;1;32;1;"< 1 Year";"No";2630;160;159;0
366;"Female";58;1;11;0;"1-2 Year";"Yes";2630;26;95;1
367;"Female";21;0;3;0;"< 1 Year";"No";28651;160;277;0
368;"Male";55;1;28;0;"> 2 Years";"Yes";40415;26;61;1
369;"Male";35;0;33;0;"1-2 Year";"Yes";3332000;124;227;0
370;"Female";27;1;16;0;"1-2 Year";"Yes";2630;156;156;1
371;"Female";39;1;29;0;"1-2 Year";"Yes";2630;157;228;1
372;"Male";41;1;33;0;"1-2 Year";"Yes";36503;124;258;1
373;"Male";52;1;28;0;"1-2 Year";"Yes";30858;60;228;0
374;"Female";79;1;41;0;"> 2 Years";"Yes";39945;26;45;0
375;"Female";25;1;16;1;"< 1 Year";"No";23338;152;136;0
376;"Female";24;1;6;1;"< 1 Year";"No";25225;152;105;0
377;"Male";49;1;50;0;"1-2 Year";"Yes";41339;8;226;0
378;"Female";45;0;8;0;"1-2 Year";"Yes";36819;7;66;0
379;"Male";32;0;46;0;"1-2 Year";"Yes";35303;124;232;0
380;"Male";27;1;36;1;"< 1 Year";"No";48046;152;265;0
381;"Male";80;1;15;1;"< 1 Year";"Yes";2630;152;187;0
382;"Male";29;1;41;1;"< 1 Year";"No";49769;152;127;0
383;"Female";23;1;39;1;"< 1 Year";"No";31627;152;88;0
384;"Male";65;1;6;0;"1-2 Year";"Yes";24299;26;139;1
385;"Female";20;1;41;1;"< 1 Year";"No";24416;160;52;0
386;"Female";38;1;35;0;"1-2 Year";"No";28134;157;45;0
387;"Male";49;1;8;1;"1-2 Year";"No";48902;26;183;0
388;"Female";26;1;4;1;"< 1 Year";"No";39563;152;45;0
389;"Male";25;1;28;0;"< 1 Year";"No";45155;152;112;1
